ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
32	cosine	24.0	14.0	22.0	303.04408429985864	81.57421060004776	84.0	94.0	454.45495719999997	99.1468979074	355.30805929300004	4.58365281004	1.33651566891	0.44857791978537054	0.001066818689722777	0.07041003352170327	0.03996003996003996	0.03996003996003996	0.1922077922077922
33	cosine	24.0	10.0	22.0	345.0746269340935	59.49662213220967	58.0	94.0	466.741018076	242.59290395	224.148114126	1.92396813953	1.30700051609	0.3633327228982952	0.006434369694368368	0.4246683998283123	0.17482517482517482	0.17141980647994381	0.45275349311853885
34	cosine	24.0	8.0	18.0	308.3047005995525	38.843357956719345	80.0	58.0	381.15042134699996	240.17050559999998	140.979915747	1.58699928784	1.1521402135299998	0.31195233784197063	0.016354775795705618	1.079415202516571	0.3676323676323676	0.3408664493078358	0.6505211897015791
35	cosine	24.0	18.0	0.0	765.7288737800932	118.49523377004827	56.0	74.0	1074.16635449	596.124982206	478.041372282	1.80191467654	1.27471377802	0.4752033992302252	0.0005704661112858879	0.0376507633448686	0.01998001998001998	0.01998001998001998	0.11584150666209081
36	cosine	24.0	18.0	20.0	392.86868799138983	90.9285637785835	90.0	68.0	652.418406256	289.00529717	363.41310908599996	2.2574617581200003	1.3899240287399999	0.3912105029550162	0.003700585778126575	0.24423866135635394	0.12087912087912088	0.11148135170145748	0.3621718144872776
37	cosine	24.0	8.0	10.0	235.49718165358726	39.610468623893134	80.0	94.0	328.86507780700003	176.692294095	152.172783712	1.8612304486200002	1.27565460431	0.32785350799604684	0.012400444227444123	0.8184293190113122	0.3036963036963037	0.27993542796945775	0.582060000521829
38	cosine	24.0	16.0	20.0	220.65764359953343	28.15250876811437	80.0	52.0	281.346597744	170.16095095100002	111.18564679299999	1.65341458291	1.2593034656200002	0.23531956447757146	0.053589721789768105	3.536921638124695	0.6933066933066933	0.6933066933066933	0.8301174720267799
39	cosine	24.0	20.0	0.0	12022.114755701308	2094.197836853612	92.0	48.0	16654.3689713	9337.21114063	7317.15783064	1.7836556034200002	1.30439701382	0.4797570603007422	0.0005109551791713604	0.03372304182530978	0.014985014985014986	0.014985014985014986	0.09106054295558669
40	cosine	24.0	10.0	2.0	90.36632793712273	14.104081470345767	58.0	68.0	118.46603342200001	62.1618580688	56.304175352799994	1.90576725185	1.183235671	0.2983835297492112	0.020539183818460798	1.3555861320184124	0.4255744255744256	0.3984013947153405	0.6866851113298932
41	cosine	24.0	18.0	4.0	455.63531148210944	71.38826278780205	92.0	52.0	668.386875492	370.90794856900004	297.478926923	1.8020289887799998	1.29437298682	0.5908744281477326	2.614646528035989e-05	0.0017256667085037527	0.0017256667085037527	0.0017256667085037527	0.01981523631008167
42	cosine	24.0	18.0	10.0	361.57228435522796	71.09031608784196	92.0	80.0	544.877223107	274.641381435	270.235841672	1.9839589367800001	1.18093967507	0.5101338230592225	0.0002393648930400435	0.015798082940642867	0.005994005994005994	0.005994005994005994	0.045048701298701296
43	cosine	24.0	4.0	8.0	100.03071648170028	16.346488315424928	52.0	92.0	136.04662159	65.8377703499	70.2088512399	2.06639169077	1.1978724572	0.2679120077936924	0.033317376524239814	2.1989468505998278	0.5414585414585414	0.5414585414585414	0.7285543677725671
