"","pVal","phase","peak.shape","period","qvalue"
"210",0.00275309353784285,22,12,24,0.0193421652623791
"211",0.741059182459037,20,10,20,1
"212",0.0551177114578369,6,12,20,0.190204773590427
"213",0.21032896406713,18,8,22,0.522521657652668
"214",0.907892160034252,2,16,22,1
"215",0.222537418803796,6,10,24,0.544202768783783
"216",0.0472647911409631,8,10,28,0.169416302094836
"217",0.000114206702737861,20,10,20,0.00176985009224249
"218",0.0131541218765937,22,16,26,0.06420977681057
"219",0.0964831907148924,24,16,24,0.290891702767706
"220",0.950049318960685,20,12,20,1
"221",0.029415104927092,22,18,28,0.118704518302102
"222",0.406667080569083,18,10,20,0.853175391645186
"223",0.00480653660998842,4,16,24,0.0294082910198215
"224",0.990894953527417,16,12,28,1
"225",0.784658649499809,18,20,28,1
"226",0.957379463592451,4,12,22,1
"227",0.859769387287137,4,18,26,1
"228",0.163100831357245,26,18,28,0.430688132802725
"229",0.511748282242016,2,8,20,1
"230",1,28,12,28,1
"231",9.78596276668251e-10,20,16,24,2.50693682202828e-07
"232",0.0178542664698044,22,16,26,0.0813722509006464
"233",0.404197479240764,26,18,28,0.849276491160113
"234",0.101149850711758,8,12,20,0.300541704205569
"235",0.0200703038975479,20,12,24,0.0886609751122337
"236",0.000319517122673066,4,6,24,0.00385330871374095
"237",0.125618387978334,8,14,20,0.353347629342566
"238",0.00369503404033303,26,18,28,0.0242938752718829
"239",1,14,10,20,1
"240",8.46747942454957e-12,20,10,22,7.04635294611035e-09
"241",0.506459281335919,18,14,20,0.999022084483988
"242",0.164669871506518,10,8,28,0.433925021348378
"243",0.66137926920128,16,10,28,1
"244",0.203420549238632,4,12,22,0.509100938318658
"245",0.155827691047633,20,12,22,0.416495213558815
"246",4.83220250232204e-05,18,10,24,0.000905950275861496
"247",0.874644923858385,8,8,28,1
"248",0.0725438320782864,22,18,24,0.234609041626855
"249",0.879446434187516,24,6,24,1
"250",0.00513629731648175,14,14,22,0.0309862683260592
"251",0.000599471687574958,2,18,24,0.00613501876007563
"252",4.21750479456276e-05,16,8,24,0.000825416509558715
"253",0.0234794787692344,16,6,24,0.0999096160217916
"254",0.931557323070454,12,12,20,1
"255",0.0307189078920209,6,14,28,0.122425322529513
"256",0.0728447010947896,22,12,24,0.235460282215415
"257",0.970248031052159,8,14,20,1
"258",0.00954279207695375,18,10,20,0.0497466268088302
"259",1,24,14,26,1
"260",0.271925517207732,6,10,28,0.631385237919388
"261",1.57405444618442e-05,18,6,26,0.000381490141139905
"262",0.129695523645141,20,16,28,0.36148255375666
"263",0.813302994307856,8,8,20,1
"264",0.23009634045656,8,8,20,0.555422996730944
"265",0.000742330765617452,2,12,22,0.00719658027504795
"266",0.00215746358421038,22,20,26,0.0162049486991802
"267",0.0470953527899323,4,10,20,0.16900272080083
"268",0.00115216052294256,16,12,26,0.00995778818239091
"269",0.000131090453934741,24,16,24,0.0019610253790764
"270",0.114535342207459,10,6,24,0.33026953877023
"271",0.00875029226029972,20,14,28,0.046507078201151
"272",0.000212601602477068,20,12,24,0.00286199746025642
"273",0.0164176501920397,18,18,26,0.076180621361001
"274",0.000231208404474017,8,14,22,0.00303409476007561
"275",0.000223063303615167,2,14,28,0.00295511618115601
"276",0.372603272045119,10,12,24,0.80064888663166
"277",0.134678221318941,2,10,26,0.372382453198027
"278",0.0123877530277232,22,10,24,0.0612579040588005
"279",0.00250223141878151,2,14,28,0.018151337658516
"280",0.959884900509164,18,6,22,1
"281",0.999999999999967,6,18,26,1
"282",0.889419399289356,24,20,28,1
"283",0.000411378299620196,16,14,20,0.00463486217572087
"284",0.00655398000309988,28,12,28,0.0373351315714097
"285",0.022509066561724,22,10,24,0.0965027036067605
"286",0.620018535508059,4,8,26,1
"287",4.13185733591884e-05,2,6,20,0.000811193215745698
"288",0.0199009698726696,18,14,20,0.0880684816799736
"289",0.828639775653524,6,10,28,1
"290",0.980901998030052,26,20,28,1
